Opportunity ID,Opportunity Name,Account ID,Owner ID,Stage,Amount,Expected Revenue,Discount,Close Date,Created Date,Lead Source,Customer Type,Probability,
OPP0001,Tabo Dream,ACC008,U003,Proposal,29756,28062,2156,8/20/2025,2/7/2026,Referral,New,0.5,Invalid
OPP0002,Tabo Beyond,ACC010,U003,Negotiation,26314,23444,4224,8/12/2025,9/3/2025,Referral,Existing,0.75,Invalid
OPP0003,Tabo Range,ACC016,U001,Proposal,29158,27313,2563,10/4/2025,6/10/2025,Email,New,0.5,Valid
OPP0004,Tabo Beyond,ACC013,U003,Proposal,37385,35616,2927,9/4/2025,6/9/2025,Event,New,0.5,Valid
OPP0005,Tabo Authority,ACC010,U004,Proposal,28118,28397,820,11/9/2025,1/8/2026,Cold Call,Existing,0.5,Invalid
OPP0006,Tabo Heavy,ACC020,U007,Closed Won,35746,35977,1555,11/16/2025,8/26/2025,Referral,Existing,1,Valid
OPP0007,Tabo Energy,ACC010,U007,Negotiation,31595,31511,862,11/17/2025,5/26/2025,Web,Existing,0.75,Valid
OPP0008,Tabo Range,ACC017,U003,Negotiation,8910,7244,2483,4/16/2025,8/22/2025,Web,New,0.75,Invalid
OPP0009,Tabo Heavy,ACC014,U009,Proposal,46513,43840,3810,3/12/2026,7/6/2025,Email,Existing,0.5,Valid
OPP0010,Tabo Dream,ACC010,U009,Proposal,45653,45613,1418,7/29/2025,7/18/2025,Referral,New,0.5,Valid
OPP0011,Tabo Dream,ACC020,U002,Closed Lost,23590,20724,3997,9/25/2025,9/9/2025,Referral,New,0,Valid
OPP0012,Tabo Impact,ACC014,U007,Negotiation,11650,7531,4155,11/9/2025,12/17/2025,Web,Existing,0.75,Invalid
OPP0013,Tabo Cold,ACC014,U001,Closed Won,39876,39877,613,2/3/2026,4/22/2025,Email,Existing,1,Valid
OPP0014,Tabo Impact,ACC020,U004,Closed Lost,48538,47519,2893,10/8/2025,1/25/2026,Email,New,0,Invalid
OPP0015,Tabo Heavy,ACC010,U009,Closed Won,19474,15892,3913,5/8/2025,1/10/2026,Email,New,1,Invalid
OPP0016,Tabo Generation,ACC010,U010,Negotiation,13358,13229,176,2/1/2026,11/20/2025,Web,Existing,0.75,Valid
OPP0017,Tabo Generation,ACC010,U002,Closed Won,35475,31956,3853,5/13/2025,11/5/2025,Email,New,1,Invalid
OPP0018,Tabo Generation,ACC010,U004,Closed Won,32676,29312,4831,4/28/2025,5/24/2025,Cold Call,Existing,1,Invalid
OPP0019,Tabo Impact,ACC019,U003,Closed Lost,45547,44010,2496,1/19/2026,7/27/2025,Referral,New,0,Valid
OPP0020,Tabo Beyond,ACC020,U008,Proposal,49120,49032,917,3/9/2026,10/12/2025,Referral,New,0.5,Valid
OPP0021,Tabo Energy,ACC003,U003,Negotiation,21359,21851,1280,9/23/2025,11/19/2025,Web,Existing,0.75,Invalid
OPP0022,Tabo Authority,ACC017,U010,Negotiation,38725,37208,1540,11/14/2025,8/22/2025,Email,New,0.75,Valid
OPP0023,Tabo Dream,ACC017,U006,Proposal,34828,32224,3610,11/27/2025,2/6/2026,Event,New,0.5,Invalid
OPP0024,Tabo Dream,ACC020,U005,Proposal,15550,11877,4910,3/16/2025,3/3/2026,Web,New,0.5,Invalid
OPP0025,Tabo Range,ACC013,U001,Negotiation,42070,39852,3565,2/14/2026,9/24/2025,Referral,New,0.75,Valid
OPP0026,Tabo Energy,ACC017,U003,Proposal,28452,27745,1052,11/15/2025,6/30/2025,Cold Call,Existing,0.5,Valid
OPP0027,Tabo Impact,ACC017,U009,Closed Lost,41203,41173,1486,8/5/2025,1/1/2026,Web,Existing,0,Invalid
OPP0028,Tabo Impact,ACC017,U005,Closed Lost,37237,36968,1731,12/23/2025,5/3/2025,Email,New,0,Valid
OPP0029,Tabo Energy,ACC020,U005,Negotiation,20409,21627,381,10/9/2025,11/21/2025,Event,Existing,0.75,Invalid
OPP0030,Tabo Dream,ACC010,U008,Closed Won,12177,9223,3651,10/19/2025,4/22/2025,Cold Call,New,1,Valid
OPP0031,Tabo Energy,ACC014,U008,Closed Lost,38585,40456,122,5/24/2025,12/24/2025,Email,New,0,Invalid
OPP0032,Tabo Energy,ACC017,U002,Closed Won,8663,8058,2092,8/6/2025,5/26/2025,Event,Existing,1,Valid
OPP0033,Tabo Range,ACC013,U008,Negotiation,35359,32430,3172,11/10/2025,10/4/2025,Cold Call,Existing,0.75,Valid
OPP0034,Tabo Energy,ACC010,U005,Proposal,14968,11648,3838,2/3/2026,8/7/2025,Referral,Existing,0.5,Valid
OPP0035,Tabo Beyond,ACC020,U003,Negotiation,32710,29357,3811,11/15/2025,11/26/2025,Web,Existing,0.75,Invalid
OPP0036,Tabo Dream,ACC010,U004,Closed Lost,25655,21711,4717,9/14/2025,9/13/2025,Email,New,0,Valid
OPP0037,Tabo Energy,ACC019,U003,Closed Lost,38644,35061,4115,10/25/2025,10/2/2025,Email,Existing,0,Valid
OPP0038,Tabo Beyond,ACC017,U006,Closed Lost,38860,39400,1048,1/3/2026,11/30/2025,Email,New,0,Valid
OPP0039,Tabo Generation,ACC010,U010,Negotiation,44645,41688,4745,10/13/2025,7/19/2025,Referral,Existing,0.75,Valid
OPP0040,Tabo Authority,ACC017,U007,Closed Lost,32438,31069,2486,4/13/2025,12/4/2025,Email,New,0,Invalid
OPP0041,Tabo Range,ACC020,U003,Closed Lost,20284,20251,1022,2/24/2026,5/13/2025,Event,New,0,Valid
OPP0042,Tabo Impact,ACC007,U006,Closed Lost,34876,31506,4415,9/17/2025,1/26/2026,Web,Existing,0,Invalid
OPP0043,Tabo Authority,ACC020,U005,Closed Lost,45365,43263,3056,3/10/2026,11/1/2025,Cold Call,New,0,Valid
OPP0044,Tabo Authority,ACC020,U009,Proposal,14267,14230,2000,5/21/2025,5/2/2025,Referral,Existing,0.5,Valid
OPP0045,Tabo Heavy,ACC020,U005,Closed Lost,18845,16917,3014,4/4/2025,9/25/2025,Web,Existing,0,Invalid
OPP0046,Tabo Dream,ACC015,U010,Negotiation,9327,5754,4829,7/31/2025,1/28/2026,Event,New,0.75,Invalid
OPP0047,Tabo Energy,ACC010,U002,Proposal,45887,43987,2963,7/5/2025,1/2/2026,Web,Existing,0.5,Invalid
OPP0048,Tabo Dream,ACC010,U008,Closed Won,39351,38610,1078,9/1/2025,3/24/2025,Web,New,1,Valid
OPP0049,Tabo Energy,ACC004,U004,Closed Lost,18955,17202,3720,9/30/2025,9/19/2025,Event,New,0,Valid
OPP0050,Tabo Dream,ACC006,U009,Proposal,13560,9689,4225,6/10/2025,9/25/2025,Cold Call,New,0.5,Invalid
OPP0051,Tabo Energy,ACC019,U003,Closed Lost,15201,16939,122,9/16/2025,5/28/2025,Cold Call,New,0,Valid
OPP0052,Tabo Energy,ACC017,U001,Negotiation,19510,18067,2862,3/24/2025,4/4/2025,Web,New,0.75,Invalid
